word,average_tfidf
app,0.021984965121306595
bitte,0.016671374920137223
danube,0.02147010236687886
danubealert,0.036874550903516885
deutschland,0.034069448878360456
donau,0.02424361693370729
duernstein,0.018437275451758443
europa,0.02233643205258328
europe,0.027784244592625976
geht,0.022503922074952568
germany,0.022377935092466706
grein,0.018437275451758443
history,0.027225396263245067
hitze,0.0510551634402882
hitzewelle,0.07339064541612096
immer,0.027438567335706605
indien,0.00226693559185849
jahren,0.011659900714453497
july,0.02156785196747132
jungen,0.004698905325328853
klima,0.025624120824835818
klimakrise,0.08862979661250309
klimaschutz,0.02457261558892298
korneuburg,0.02075649155881808
luxembourg,0.01888191470277354
mal,0.01729773815436859
mauthausen,0.018437275451758443
menschen,0.015147025675120643
merz,0.022560668887435645
naechste,0.02038547244579476
nature,0.023982010908355507
netherlands,0.016358622626116866
neue,0.019005101383097005
oebb,0.021767196486370776
photography,0.03672126178177289
post,0.03484564445878697
run,0.014035633949167868
schon,0.029908188950901516
seit,0.01955953015936406
social,0.04042620355634585
sommer,0.020352746803131185
spanien,0.018988752420462742
time,0.021911612569472022
today,0.018596012216542685
waldbraende,0.030997377909207532
water,0.015957614967859766
wetter,0.02544468064625021
wiener,0.025589315793307435
wienerlinien,0.10009186212545977
wilhering,0.018437275451758443
