number_of_topics,coherence_score
2,0.2753842159340569
3,0.48726387475869964
4,0.36056240313417365
5,0.48720126509760675
6,0.5466856264063924
7,0.5020279053138782
8,0.43557538123946005
9,0.508685568724316
10,0.5532502974789498
