topic,top_words
LSA Topic 1,"wienerlinien, wiener, hitzewelle, klimakrise, schon, immer, hitze, geht, bahn, photography"
LSA Topic 2,"danubealert, danube, korneuburg, duernstein, grein, mauthausen, wilhering, donau, july, water"
LSA Topic 3,"hitzewelle, klimakrise, hitze, klima, deutschland, merz, naechste, waldbraende, klimaschutz, wetter"
LSA Topic 4,"klimakrise, post, social, europe, spain, germany, luxembourg, australia, community, denmark"
LSA Topic 5,"klimakrise, waldbraende, frankreich, immer, spanien, spiegel, mal, schon, gerade, klimaschutz"
