topic,top_words
LDA Topic 1,"wienerlinien, menschen, schon, indien, seit, jungen, immer, wiener, history, geht"
LDA Topic 2,"klimakrise, waldbraende, spanien, klimaschutz, per, israel, merz, frankreich, spiegel, madrid"
LDA Topic 3,"danubealert, july, korneuburg, wilhering, duernstein, grein, mauthausen, danube, donau, water"
LDA Topic 4,"social, europe, luxembourg, post, germany, nature, netherlands, spain, belgium, canada"
LDA Topic 5,"hitzewelle, hitze, deutschland, klima, naechste, run, wetter, italien, running, new"
