word,count
hitzewelle,59
oesterreich,54
com,49
hitze,48
klimakrise,46
wienerlinien,41
utm,41
danubealert,41
fuer,32
danube,22
duernstein,22
grein,22
korneuburg,22
mauthausen,22
wilhering,22
photography,21
grad,21
mehr,21
data,21
deutschland,21
donau,20
wegen,19
medium,19
mastodon,19
source,17
june,16
klimawandel,16
wiener,14
ueber,14
vienne,14
