word,average_tfidf
app,0.0219672287235492
bitte,0.01667459637545343
danube,0.021846018511130647
danubealert,0.03770135429289613
data,0.015705687237931438
deutschland,0.032667334678516
donau,0.02405142468812271
duernstein,0.018850677146448065
europa,0.025122772273843852
europe,0.029796729205281987
geht,0.022460278950860276
germany,0.023142904010953615
grad,0.013101597713583851
grein,0.018850677146448065
history,0.02832310048377185
hitze,0.04984582760043313
hitzewelle,0.0737789997395568
immer,0.028015695517856726
indien,0.0022632492474573794
jahren,0.011666237516518078
july,0.02461956880998054
jungen,0.004696331620533169
klima,0.023310269284425738
klimakrise,0.09007506774171677
klimaschutz,0.024586732252728984
korneuburg,0.020588300328951686
luxembourg,0.019679640736421457
mal,0.017331287981913343
mauthausen,0.018850677146448065
menschen,0.015174365236838393
merz,0.021501785436205973
naechste,0.023022598651215583
nature,0.02435248771990012
netherlands,0.017153660839816322
neue,0.018982242316473327
oebb,0.021772565170261278
photography,0.03688922652033273
post,0.03483273860042743
run,0.015254165921268926
schon,0.028286220917737998
seit,0.019587383111711595
social,0.040728043599290276
sommer,0.019449186926951176
spanien,0.018985289919488103
waldbraende,0.03087227471493343
water,0.016525329505477578
wetter,0.025048406355103
wiener,0.025579409607687655
wienerlinien,0.10254922676304544
wilhering,0.018850677146448065
