topic,top_words
LDA Topic 1,"wienerlinien, danubealert, july, korneuburg, wilhering, grein, mauthausen, duernstein, danube, donau"
LDA Topic 2,"waldbraende, klimakrise, history, spanien, photography, security, blackandwhite, museums, madrid, frankreich"
LDA Topic 3,"hitzewelle, klimakrise, hitze, deutschland, wetter, naechste, klima, immer, europa, merz"
LDA Topic 4,"luxembourg, social, europe, post, germany, bitte, wiener, netherlands, spain, belgium"
LDA Topic 5,"menschen, indien, schon, jungen, seit, run, jahren, geht, medien, regierung"
